abieamab,Abies amabilis,Pacific silver fir
abiebals,Abies balsamea,balsam fir
abiebrac,Abies bracteata,bristlecone fir
abieconc,Abies concolor,white fir
abiefras,Abies fraseri,Fraser fir
abiegran,Abies grandis,grand fir
abielasi,Abies lasiocarpa,subalpine fir
abiemagn,Abies magnifica,California red fir
abieproc,Abies procera,noble fir
acacberl,Acacia berlandieri,Berlandier acacia
acacchor,Acacia choriophylla,cinnecord
acacfarn,Acacia farnesiana,sweet acacia
acacgreg,Acacia greggii,catclaw acacia
acacmacr,Acacia macracantha,long spine acacia
acacrigi,Acacia rigidula,blackbrush acacia
acacroem,Acacia roemeriana,Roemer acacia
acactort,Acacia tortuosa,twisted acacia
acacwrig,Acacia wrightii,Wright acacia
acerbarb,Acer barbatum,Florida maple
acercirc,Acer circinatum,vine maple
acerglab,Acer glabrum,Rocky Mountain maple
acergran,Acer grandidentatum,bigtooth maple
acerleuc,Acer leucoderme,chalk maple
acermacr,Acer macrophyllum,bigleaf maple
acernegu,Acer negundo,boxelder
acernigr,Acer nigrum,black maple
acerpens,Acer pensylvanicum,striped maple
acerrubr,Acer rubrum,red maple
acersacc,Acer saccharinum,silver maple
acersacr,Acer saccharum,sugar maple
acerspic,Acer spicatum,mountain maple
acoewrig,Acoelorrhaphe wrightii,paurotis palm
aesccali,Aesculus californica,California buckeye
aescglab,Aesculus glabra,Ohio buckeye
aescocta,Aesculus octandra,yellow buckeye
aescparv,Aesculus parviflora,bottlebrush buckeye
aescpavi,Aesculus pavia,red buckeye
aescsylv,Aesculus sylvatica,painted buckeye
agavutah,Agave utahensis,Utah agave
alnumari,Alnus maritima,seaside alder
alnuoblo,Alnus oblongifolia,Arizona alder
alnurhom,Alnus rhombifolia,white alder
alnurubr,Alnus rubra,red alder
alnurugo,Alnus rugosa,speckled alder
alnuserr,Alnus serrulata,hazel alder
alnusinu,Alnus sinuata,Sitka alder
alnutenu,Alnus tenuifolia,thinleaf alder
alvaamor,Alvaradoa amorphoides,Mexican alvaradoa
amelalni,Amelanchier alnifolia,western serviceberry
amelarbo,Amelanchier arborea,downy serviceberry
amelinte,Amelanchier interior,inland serviceberry
amelsang,Amelanchier sanguinea,roundleaf serviceberry
amelutah,Amelanchier utahensis,Utah serviceberry
amphlati,Amphitecna latifolia,black calabash
amyrbals,Amyris balsamifera,balsam torchwood
amyrelem,Amyris elemifera,torchwood
annoglab,Annona glabra,pond apple
aralspin,Aralia spinosa,devils walkingstick
arbuariz,Arbutus arizonica,Arizona madrone
arbumenz,Arbutus menziesii,Pacific madrone
arbutexa,Arbutus texana,Texas madrone
arctprin,Arctostaphylos pringlei,Pringle manzanita
ardiesca,Ardisia escallonioides,marlberry
artetrid,Artemisia tridentata,big sagebrush
asimparv,Asimina parviflora,smallflower pawpaw
asimtril,Asimina triloba,pawpaw
avicgerm,Avicennia germinans,black mangrove
bacchali,Baccharis halimifolia,eastern baccharis
betualle,Betula alleghaniensis,yellow birch
betulent,Betula lenta,sweet birch
betunana,Betula nana,dwarf birch
betunigr,Betula nigra,river birch
betuocci,Betula occidentalis,water birch
betupapy,Betula papyrifera,paper birch
betupopu,Betula populifolia,gray birch
betuuber,Betula uber,Ashe birch
bourovat,Bourreria ovata,Bahama strongbark
bourradu,Bourreria radula,rough strongbark
bumecela,Bumelia celastrina,saffron plum
bumelanu,Bumelia lanuginosa,gum bumelia
bumelyci,Bumelia lycioides,buckthorn bumelia
bumetena,Bumelia tenax,tough bumelia
bursfaga,Bursera fagaroides,fragrant bursera
bursmicr,Bursera microphylla,elephanttree
burssima,Bursera simaruba,gumbo limbo
byrsluci,Byrsonima lucida,key byrsonima
caesmexi,Caesalpinia mexicana,Mexican poinciana
calypall,Calyptranthes pallens,pale lidflower
calyzuzy,Calyptranthes zuzygium,myrtle of the river
canewint,Canella winterana,canella
canoholo,Canotia holacantha,canotia
cappcyno,Capparis cynophallophora,Jamaica caper
cappflex,Capparis flexuosa,limber caper
carpcaro,Carpinus caroliniana,American hornbeam
caryaqua,Carya aquatica,water hickory
carycord,Carya cordiformis,bitternut hickory
caryflor,Carya floridana,scrub hickory
caryglab,Carya glabra,pignut hickory
caryilli,Carya illinoensis,pecan
carylaci,Carya laciniosa,shellbark hickory
carymyri,Carya myristicaeformis,nutmeg hickory
caryovat,Carya ovata,shagbark hickory
carypall,Carya pallida,sand hickory
carytexa,Carya texana,black hickory
carytome,Carya tomentosa,mockernut hickory
castalni,Castanea alnifolia,Florida chinkapin
castchry,Castanopsis chrysophylla,golden chinkapin
castdent,Castanea dentata,American chestnut
castozar,Castanea ozarkensis,Ozark chinkapin
castpumi,Castanea pumila,Allegheny chinkapin
catabign,Catalpa bignonioides,southern catalpa
cataspec,Catalpa speciosa,northern catalpa
ceanarbo,Ceanothus arboreus,feltleaf ceanothus
ceanspin,Ceanothus spinosus,spiny ceanothus
ceanthyr,Ceanothus thyrsiflorus,blueblossom
celtlaev,Celtis laevigata,sugarberry
celtlind,Celtis lindheimeri,Lindheimer hackberry
celtocci,Celtis occidentalis,hackberry
celtreti,Celtis reticulata,netleaf hackberry
celttenu,Celtis tenuifolia,Georgia hackberry
cephocci,Cephalanthus occidentalis,common buttonbush
cercbetu,Cercocarpus betuloides,birchleaf cercocarpus
cercbrev,Cercocarpus breviflorus,hairy cercocarpus
cerccana,Cercis canadensis,eastern redbud
